NAME,SUBSCRIPTION,LOCATION,
"alise","Chrisnott4funk","East US 2"
"boody","Chrisnott4funk","North Central US"
"cloud-shell-storage-southcentralus","Chrisnott4funk","South Central US"
"Coconott_group","Chrisnott4funk","West US 3"
"DefaultResourceGroup-CUS","Chrisnott4funk","Central US"
"DefaultResourceGroup-EUS","Chrisnott4funk","East US"
"DefaultResourceGroup-EUS2","Chrisnott4funk","East US 2"
"DefaultResourceGroup-WUS","Chrisnott4funk","West US"
"depude","Chrisnott4funk","West US"
"Erwin_group","Chrisnott4funk","East US 2"
"koll_group","Chrisnott4funk","East US 2"
"luwes","Chrisnott4funk","West US 3"
"NetworkWatcherRG","Chrisnott4funk","East US 2"
"ramni","Chrisnott4funk","East US 2"
"shilth","Chrisnott4funk","East US"
"totalise","Chrisnott4funk","Central US"
"ZonalMove-MC-RG-eastus2","Chrisnott4funk","East US 2"