NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,
"Application Insights Smart Detection","Action group","koll_group","Global","Chrisnott4funk"
"aprilqt","Logic app","koll_group","Central US","Chrisnott4funk"
"assed","Virtual network","koll_group","Central US","Chrisnott4funk"
"AzureAutomationTutorialWithIdentity (transm/AzureAutomationTutorialWithIdentity)","Runbook","koll_group","Central US","Chrisnott4funk"
"AzureAutomationTutorialWithIdentityGraphical (transm/AzureAutomationTutorialWithIdentityGraphical)","Runbook","koll_group","Central US","Chrisnott4funk"
"boutbusi","Front Door WAF policy","zonalmove-mc-rg-eastus2","Global","Chrisnott4funk"
"casert","Public IP Prefix","koll_group","Central US","Chrisnott4funk"
"ChangeTracking(DefaultWorkspace-88ecf993-5289-4b8e-b98a-1ecffcac1ea4-EUS)","Solution","defaultresourcegroup-eus","East US","Chrisnott4funk"
"ChangeTracking(Workspace-4f0ea6b6-5e8f-4eaa-8a8e-9bf8695a5d96-CUS)","Solution","defaultresourcegroup-cus","Central US","Chrisnott4funk"
"cmobil","API Management service","defaultresourcegroup-cus","East US 2","Chrisnott4funk"
"crisfixdcnotts","Web PubSub for Socket.IO","koll_group","West US","Chrisnott4funk"
"cs71003200371b78814","Storage account","cloud-shell-storage-southcentralus","South Central US","Chrisnott4funk"
"ct-dcr545787152","Data collection rule","defaultresourcegroup-eus","East US","Chrisnott4funk"
"cvyrt","Application security group","koll_group","Central US","Chrisnott4funk"
"DefaultWorkspace-88ecf993-5289-4b8e-b98a-1ecffcac1ea4-EUS","Log Analytics workspace","defaultresourcegroup-eus","East US","Chrisnott4funk"
"DefaultWorkspace-88ecf993-5289-4b8e-b98a-1ecffcac1ea4-WUS","Log Analytics workspace","koll_group","East US 2","Chrisnott4funk"
"derty","Fluid Relay","koll_group","Central US","Chrisnott4funk"
"Dickrich","Service Bus Namespace","koll_group","Central US","Chrisnott4funk"
"Failure Anomalies - insight20240427","Smart detector alert rule","koll_group","Global","Chrisnott4funk"
"freeso","SaaS","erwin_group","Global","Chrisnott4funk"
"hello-world-app","Container App","percei_springapps_8523c922-fa6a-4710-909a-8838a0f4fe00","West US","Chrisnott4funk"
"hhhttt","Key vault","erwin_group","Central US","Chrisnott4funk"
"insight20240427","Application Insights","koll_group","East US 2","Chrisnott4funk"
"jakkr","Remote Rendering Account","depude","East US","Chrisnott4funk"
"koll","Virtual machine","koll_group","East US 2","Chrisnott4funk"
"koll-ip","Public IP address","koll_group","East US 2","Chrisnott4funk"
"koll-nsg","Network security group","koll_group","East US 2","Chrisnott4funk"
"koll-vnet","Virtual network","koll_group","East US 2","Chrisnott4funk"
"koll447","Network Interface","koll_group","East US 2","Chrisnott4funk"
"koll_key","SSH key","erwin_group","East US 2","Chrisnott4funk"
"koll_key","SSH key","koll_group","East US 2","Chrisnott4funk"
"koll_OsDisk_1_f0a11d1ab20f41e6b228a5e63f51a76d","Disk","koll_group","East US 2","Chrisnott4funk"
"koolre","Email Communication Service","koll_group","Global","Chrisnott4funk"
"linux-vm","Virtual machine","totalise","Central US","Chrisnott4funk"
"linux-vm-ip","Public IP address","totalise","Central US","Chrisnott4funk"
"linux-vm-nic","Network Interface","totalise","Central US","Chrisnott4funk"
"linux-vm_OsDisk_1_abdf2eec3dcf4ad49be300488ac7b980","Disk","totalise","Central US","Chrisnott4funk"
"linuxvm01920b1f53","Storage account","totalise","Central US","Chrisnott4funk"
"loasnu","Azure Spring Apps","koll_group","West US","Chrisnott4funk"
"monber","Public IP address","koll_group","Central US","Chrisnott4funk"
"MSVMI-DefaultWorkspace-88ecf993-5289-4b8e-b98a-1ecffcac1ea4-EUS","Data collection rule","defaultresourcegroup-eus","East US","Chrisnott4funk"
"naeccee","Front Door and CDN profile","zonalmove-mc-rg-eastus2","Global","Chrisnott4funk"
"Nanaa","Virtual machine","alise","East US 2","Chrisnott4funk"
"Nanaa-ip","Public IP address","alise","East US 2","Chrisnott4funk"
"Nanaa-nsg","Network security group","alise","East US 2","Chrisnott4funk"
"Nanaa-vnet","Virtual network","alise","East US 2","Chrisnott4funk"
"nanaa242","Network Interface","alise","East US 2","Chrisnott4funk"
"Nanaa_OsDisk_1_c8d82704fbb74e80bd461feb44bc2715","Disk","alise","East US 2","Chrisnott4funk"
"NetworkWatcher_centralus","Network Watcher","networkwatcherrg","Central US","Chrisnott4funk"
"NetworkWatcher_eastus2","Network Watcher","networkwatcherrg","East US 2","Chrisnott4funk"
"nnobb","Communication Service","koll_group","Global","Chrisnott4funk"
"noelnotts","Application gateway","koll_group","East US 2","Chrisnott4funk"
"noelnotts","SignalR","koll_group","Central US","Chrisnott4funk"
"noelnotts-publicip","Public IP address","koll_group","East US 2","Chrisnott4funk"
"nsg-ssh","Network security group","totalise","Central US","Chrisnott4funk"
"percei","Container Apps Environment","koll_group","West US","Chrisnott4funk"
"pyreese","Azure AI hub","boody","North Central US","Chrisnott4funk"
"pyreese3261136882","Key vault","boody","North Central US","Chrisnott4funk"
"pyreese6173213362","Storage account","boody","North Central US","Chrisnott4funk"
"pyreese9370000861","Azure AI services","boody","North Central US","Chrisnott4funk"
"rustopher","Face API","koll_group","Central US","Chrisnott4funk"
"samsom","NAT gateway","koll_group","Central US","Chrisnott4funk"
"transm","Automation Account","koll_group","Central US","Chrisnott4funk"
"treese","Host group","cloud-shell-storage-southcentralus","South Central US","Chrisnott4funk"
"Updates(Workspace-4f0ea6b6-5e8f-4eaa-8a8e-9bf8695a5d96-CUS)","Solution","defaultresourcegroup-cus","Central US","Chrisnott4funk"
"VirtualNetwork","Virtual network","totalise","Central US","Chrisnott4funk"
"Workspace-4f0ea6b6-5e8f-4eaa-8a8e-9bf8695a5d96-CUS","Log Analytics workspace","defaultresourcegroup-cus","Central US","Chrisnott4funk"
"workspacekollgroup9802","Log Analytics workspace","koll_group","West US","Chrisnott4funk"